TIPOTRANSACCION,TRANSACCIONID,FECHA,FECHACONTABLE,CATEGORIA,NUMERODOCUMENTO,DOCUMENTO,ESTABLECIMIENTO,ZONA,LOTE,ACTIVIDAD,CTG,LABORPRODUCTO,LABORPRODUCTOID,LOTEACTIVIDADID,IMPLEMENTO,PARTIDA,SUPERFICIE,SUPERFICIEASIGNADA,CANTIDAD,UNIDAD,CANTIDADSECUNDARIA,UNIDADSECUNDARIA,IMPORTE,DESCRIPCION,CANTIDADHA,DEPOSITO,PRECIO,TIPOLABOR,PLANAGRICOLAITEMDESC,INDICADOR,TIPO,ESTADO,PRODUCTOTIPO,CLASEVO,CAMPANIA,AMBIENTE,ANOMES,COORDENADAS,PORCENTAJEHUMEDAD,LABORUTADA,MONEDAPRODUCTO,MONEDATRANSACCION,CANTIDADHUMEDA,CANTIDADSECA,SUPERFICIECOSECHADA,SUPERFICIESEMBRADA,RINDESECOSEMBRADO,RINDESECOCOSECHADO,IMPORTEHA,EMPRESA,ESTADIO,VARIEDAD,LUGARID,ACTIVIDADID,CAMPANAID,BANDATOXICOLOGICA,PRODUCTOFAMILIAID,PRODUCTORUBROID,CENTROCOSTO,RINDECANTHALOTE,RINDECANTHAESTABLECIMIENTO,IMPORTEHARINDELOTE,IMPORTEHARINDEESTABLECIMIENTO,MARCA,PRINCIPIOACTIVO,SUBFAMILIA,FAMILIA,RUBRO
Compra,152344,2023-05-08,2023-05-08,Cosecha,,"COS-TRAS - 2327","El Guayaibi","El Tocon","Lote 18","Soja 1°",10109644694,"Grano Soja",391,2094,,"CAMPAÑA 22/23",NULL,122.5,29860,Kilos,0,NULL,0,"Generado por TRAS-COS - 2310 - ",0,"GUAYAIBI MAIZ",0,Propia,,NULL,Producción,Ejecutado,Producción,LaboreoParteVO,"CAMPAÑA 22/23",Maíz,2023-05,,NULL,NULL,PESOS,PESOS,29860,29860,122.5,122.5,243.755,243.755,0,"HYH Outfitters S.A.",NULL,NULL,58,33,23,NULL,17,9,"El Guayaibi-Soja 1°-CAMPAÑA 22/23",243.7551,37.5361,0,0,,,,OLEAGINOSAS,Granos
Compra,152347,2023-05-08,2023-05-08,Cosecha,,"COS-TRAS - 2328","El Guayaibi","El Tocon","Lote 18","Soja 1°",10109645096,"Grano Soja",391,2094,,"CAMPAÑA 22/23",NULL,122.5,34180,Kilos,0,NULL,0,"Generado por TRAS-COS - 2311 - ",0,"GUAYAIBI MAIZ",0,Propia,,NULL,Producción,Ejecutado,Producción,LaboreoParteVO,"CAMPAÑA 22/23",Maíz,2023-05,,NULL,NULL,PESOS,PESOS,34180,34180,122.5,122.5,279.02,279.02,0,"HYH Outfitters S.A.",NULL,NULL,58,33,23,NULL,17,9,"El Guayaibi-Soja 1°-CAMPAÑA 22/23",279.0204,42.9667,0,0,,,,OLEAGINOSAS,Granos
Compra,152362,2023-05-08,2023-05-08,Cosecha,,"COS-TRAS - 2329","El Guayaibi","El Tocon","Lote 18","Soja 1°",10109646685,"Grano Soja",391,2094,,"CAMPAÑA 22/23",NULL,122.5,29840,Kilos,0,NULL,0,"Generado por TRAS-COS - 2312 - ",0,"GUAYAIBI MAIZ",0,Propia,,NULL,Producción,Ejecutado,Producción,LaboreoParteVO,"CAMPAÑA 22/23",Maíz,2023-05,,NULL,NULL,PESOS,PESOS,29840,29840,122.5,122.5,243.592,243.592,0,"HYH Outfitters S.A.",NULL,NULL,58,33,23,NULL,17,9,"El Guayaibi-Soja 1°-CAMPAÑA 22/23",243.5918,37.511,0,0,,,,OLEAGINOSAS,Granos
Compra,156669,2023-05-23,2023-05-23,Cosecha,0712,"COS-PAS - 730","El Guayaibi","El Tocon","Lote 18","Soja 1°",NULL,"Grano Soja",391,2094,,"CAMPAÑA 22/23",122.5,122.5,103690,Kilos,0,NULL,0,"Soja - Bolsa N° 1",846.449,EG-001,0,Propia,,Ha.,Producción,Ejecutado,Producción,LaboreoParteVO,"CAMPAÑA 22/23",Maíz,2023-05,,NULL,"Cosecha Gruesa",PESOS,PESOS,103690,103690,122.5,122.5,846.449,846.449,0,"HYH Outfitters S.A.",NULL,NULL,58,33,23,NULL,17,9,"El Guayaibi-Soja 1°-CAMPAÑA 22/23",846.449,130.3457,0,0,,,,OLEAGINOSAS,Granos
Compra,178197,2023-08-02,2023-08-02,Cosecha,,"COS-TRAS - 3276","El Guayaibi","El Tocon",Lote19,"Maiz 1°",10111239611,"Grano Maíz",491,2095,,"CAMPAÑA 22/23",NULL,130,29980,Kilos,0,NULL,0,"Generado por TRAS-COS - 3237 - CARGILL SACI - RIO SECO - GUAYAIBI PAMPA DEL INFIERNO - MAIZ DURO 22/23",0,"GUAYAIBI MAIZ",0,Propia,,NULL,Producción,Ejecutado,Producción,LaboreoParteVO,"CAMPAÑA 22/23","Gatton Panic",2023-08,,NULL,NULL,PESOS,PESOS,29980,29980,102,130,230.615,293.922,0,"HYH Outfitters S.A.",NULL,NULL,58,42,23,NULL,16,9,"El Guayaibi-Maiz 1°-CAMPAÑA 22/23",230.6154,14.8123,0,0,,,,CEREALES,Granos
Compra,178503,2023-08-02,2023-08-02,Cosecha,,"COS-TRAS - 3277","El Guayaibi","El Tocon",Lote19,"Maiz 1°",10111260255,"Grano Maíz",491,2095,,"CAMPAÑA 22/23",NULL,130,36500,Kilos,0,NULL,0,"Generado por TRAS-COS - 3238 - ",0,"GUAYAIBI MAIZ",0,Propia,,NULL,Producción,Ejecutado,Producción,LaboreoParteVO,"CAMPAÑA 22/23","Gatton Panic",2023-08,,NULL,NULL,PESOS,PESOS,36500,36500,102,130,280.769,357.843,0,"HYH Outfitters S.A.",NULL,NULL,58,42,23,NULL,16,9,"El Guayaibi-Maiz 1°-CAMPAÑA 22/23",280.7692,18.0336,0,0,,,,CEREALES,Granos
Compra,178966,2023-08-03,2023-08-03,Cosecha,,"COS-TRAS - 3278","El Guayaibi","El Tocon",Lote19,"Maiz 1°",10111289135,"Grano Maíz",491,2095,,"CAMPAÑA 22/23",NULL,130,30160,Kilos,0,NULL,0,"Generado por TRAS-COS - 3239 - ",0,"GUAYAIBI MAIZ",0,Propia,,NULL,Producción,Ejecutado,Producción,LaboreoParteVO,"CAMPAÑA 22/23","Gatton Panic",2023-08,,NULL,NULL,PESOS,PESOS,30160,30160,102,130,232,295.686,0,"HYH Outfitters S.A.",NULL,NULL,58,42,23,NULL,16,9,"El Guayaibi-Maiz 1°-CAMPAÑA 22/23",232,14.9012,0,0,,,,CEREALES,Granos
Compra,167994,2023-07-01,2023-07-01,Cosecha,,"COS-TRAS - 2886","El Guayaibi","El Tocon",Lote20,"Maiz 1°",10110676928,"Grano Maíz",491,2096,,"CAMPAÑA 22/23",NULL,130,7100,Kilos,0,NULL,0,"Generado por TRAS-COS - 2866 - ",0,"GUAYAIBI MAIZ",0,Propia,,NULL,Producción,Ejecutado,Producción,LaboreoParteVO,"CAMPAÑA 22/23","Gatton Panic",2023-07,,NULL,NULL,PESOS,PESOS,7100,7100,130,130,54.6154,54.6154,0,"HYH Outfitters S.A.",NULL,NULL,58,42,23,NULL,16,9,"El Guayaibi-Maiz 1°-CAMPAÑA 22/23",54.6154,3.5079,0,0,,,,CEREALES,Granos
Compra,167996,2023-07-02,2023-07-02,Cosecha,,"COS-TRAS - 2887","El Guayaibi","El Tocon",Lote20,"Maiz 1°",10110681382,"Grano Maíz",491,2096,,"CAMPAÑA 22/23",NULL,130,6100,Kilos,0,NULL,0,"Generado por TRAS-COS - 2867 - ",0,"GUAYAIBI MAIZ",0,Propia,,NULL,Producción,Ejecutado,Producción,LaboreoParteVO,"CAMPAÑA 22/23","Gatton Panic",2023-07,,NULL,NULL,PESOS,PESOS,6100,6100,130,130,46.9231,46.9231,0,"HYH Outfitters S.A.",NULL,NULL,58,42,23,NULL,16,9,"El Guayaibi-Maiz 1°-CAMPAÑA 22/23",46.9231,3.0138,0,0,,,,CEREALES,Granos
Compra,167456,2023-06-30,2023-06-30,Cosecha,,"COS-TRAS - 2845","El Guayaibi","El Tocon",Lote20,"Maiz 1°",10110648201,"Grano Maíz",491,2096,,"CAMPAÑA 22/23",NULL,130,1830,Kilos,0,NULL,0,"Generado por TRAS-COS - 2825 - JESUS MARIA - HYH - CAMPAÑA 22-23",0,"GUAYAIBI MAIZ",0,Propia,,NULL,Producción,Ejecutado,Producción,LaboreoParteVO,"CAMPAÑA 22/23","Gatton Panic",2023-06,,NULL,NULL,PESOS,PESOS,1830,1830,130,130,14.0769,14.0769,0,"HYH Outfitters S.A.",NULL,NULL,58,42,23,NULL,16,9,"El Guayaibi-Maiz 1°-CAMPAÑA 22/23",14.0769,0.9042,0,0,,,,CEREALES,Granos
